Image-Name,Human-Valence3,Human-Arousal3,Zero-Shot-Average-Valence-For-Image,Zero-Shot-Average-Arousal-For-Image,Zero-Shot-Average-Valence-For-Text,Zero-Shot-Average-Arousal-For-Text,Few-Shot-Average-Valence-For-Image,Few-Shot-Average-Arousal-For-Image,Few-Shot-Average-Valence-For-Text,Few-Shot-Average-Arousal-For-Text
Sn112,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Neutral
Sn113,Neutral,Neutral,Neutral,Stimulated,Neutral,Calm,Neutral,Neutral,Negative,Stimulated
Sn114,Neutral,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Neutral,Neutral
Sn115,Neutral,Neutral,Neutral,Calm,Neutral,Stimulated,Neutral,Calm,Neutral,Neutral
Sn116,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Negative,Stimulated
Sn117,Neutral,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
Sn118,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sn119,Neutral,Neutral,Neutral,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated
Sn120,Neutral,Neutral,Negative,Stimulated,Neutral,Stimulated,Neutral,Neutral,Neutral,Neutral
Sn121,Neutral,Neutral,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Neutral
Sn122,Neutral,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Calm,Neutral,Stimulated
Sn123,Neutral,Neutral,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Neutral
Sn124,Negative,Stimulated,Neutral,Stimulated,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Sn125,Negative,Stimulated,Neutral,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Calm
Sn126,Neutral,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated
Sn127,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
Sn128,Neutral,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Stimulated
Sn129,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Neutral
Sn130,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Calm
Sn131,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
Sn132,Neutral,Stimulated,Neutral,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Calm
Sn133,Neutral,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Stimulated
Sp001,Negative,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Neutral,Neutral,Stimulated
Sp002,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral,Negative,Stimulated,Neutral,Stimulated
Sp003,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Calm
Sp004,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Neutral
Sp005,Neutral,Neutral,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Calm
Sp006,Neutral,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sp007,Neutral,Neutral,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sp008,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Neutral
Sp009,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated
Sp010,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral,Negative,Neutral
Sp011,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated
Sp012,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sp013,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Neutral
Sp014,Neutral,Stimulated,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Stimulated
Sp015,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated
Sp016,Negative,Neutral,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated,Negative,Stimulated
Sp017,Neutral,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Calm,Neutral,Neutral
Sp018,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Neutral,Calm,Neutral,Stimulated
Sp019,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Calm
Sp020,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Stimulated
Sp021,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral
Sp022,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
Sp023,Neutral,Neutral,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sp024,Neutral,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Stimulated
Sp025,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Negative,Stimulated
Sp026,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
Sp027,Neutral,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated
Sp028,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Neutral
Sp029,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Neutral
Sp030,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
Sp031,Neutral,Neutral,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Neutral
Sp032,Neutral,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated
Sp033,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral
Sp034,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated
Sp035,Negative,Stimulated,Neutral,Stimulated,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
Sp036,Neutral,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Negative,Stimulated
Sp037,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Negative,Neutral
Sp038,Neutral,Neutral,Negative,Stimulated,Neutral,Calm,Neutral,Neutral,Negative,Stimulated
Sp039,Neutral,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sp040,Neutral,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral
Sp041,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral,Negative,Stimulated,Neutral,Neutral
Sp042,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral
Sp043,Neutral,Neutral,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Negative,Stimulated
Sp044,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated
Sp045,Neutral,Stimulated,Positive,Calm,Positive,Stimulated,Positive,Neutral,Positive,Neutral
Sp046,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Neutral,Neutral,Neutral,Neutral
Sp047,Negative,Neutral,Neutral,Stimulated,Negative,Stimulated,Neutral,Neutral,Negative,Stimulated
Sp048,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Calm
Sp049,Neutral,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Neutral
Sp050,Neutral,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Stimulated
Sp051,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Neutral
Sp052,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Neutral,Neutral,Neutral,Stimulated
Sp053,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Calm,Neutral,Stimulated
Sp054,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Calm
Sp055,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Negative,Neutral
Sp056,Neutral,Stimulated,Neutral,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Neutral
Sp057,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral
Sp058,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sp060,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated
Sp061,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sp062,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sp063,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated
Sp064,Negative,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Negative,Neutral
Sp065,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sp066,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
Sp067,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral,Neutral,Stimulated
Sp068,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Calm
Sp069,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Stimulated
Sp070,Neutral,Stimulated,Negative,Stimulated,Negative,Calm,Negative,Stimulated,Negative,Calm
Sp071,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Neutral,Neutral,Neutral,Calm
Sp072,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Neutral
Sp073,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Neutral
Sp074,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Neutral,Neutral,Negative,Neutral
Sp075,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated
Sp076,Neutral,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Neutral
Sp077,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sp078,Negative,Neutral,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Negative,Neutral
Sp079,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Neutral,Neutral,Calm
Sp080,Negative,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Stimulated
Sp081,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sp082,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Negative,Stimulated
Sp083,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Negative,Stimulated
Sp084,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Negative,Neutral
Sp085,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Calm
Sp086,Negative,Stimulated,Neutral,Calm,Neutral,Neutral,Neutral,Neutral,Negative,Stimulated
Sp087,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Calm,Negative,Stimulated
Sp088,Neutral,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Stimulated
Sp089,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated
Sp090,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Neutral,Neutral,Stimulated
Sp091,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Neutral
Sp093,Neutral,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Calm
Sp094,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Calm
Sp095,Neutral,Neutral,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Negative,Neutral
Sp096,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Neutral
Sp097,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Calm
Sp098,Negative,Neutral,Neutral,Calm,Negative,Stimulated,Neutral,Neutral,Negative,Neutral
Sp099,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Neutral
Sp100,Neutral,Neutral,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated
Sp101,Negative,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Neutral
Sp102,Neutral,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Neutral
Sp103,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Stimulated
Sp104,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Neutral
Sp105,Neutral,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
Sp106,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Stimulated,Neutral,Calm
Sp107,Neutral,Neutral,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sp108,Neutral,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Neutral,Neutral,Neutral
Sp109,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Negative,Stimulated
Sp110,Negative,Neutral,Neutral,Calm,Neutral,Calm,Neutral,Calm,Neutral,Neutral
Sp111,Negative,Neutral,Negative,Stimulated,Neutral,Neutral,Neutral,Stimulated,Neutral,Neutral
Sp112,Neutral,Neutral,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Negative,Stimulated
Sp113,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated,Negative,Neutral
Sp114,Neutral,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Calm
Sp115,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated
Sp116,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Stimulated
Sp117,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral
Sp118,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated,Negative,Stimulated
Sp119,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated
Sp120,Neutral,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Negative,Neutral
Sp121,Neutral,Neutral,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Neutral
Sp122,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
Sp123,Negative,Neutral,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Neutral
Sp124,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral
Sp125,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Neutral,Neutral
Sp126,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Neutral
Sp127,Negative,Stimulated,Neutral,Stimulated,Neutral,Calm,Neutral,Neutral,Negative,Neutral
Sp128,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Neutral,Neutral,Neutral,Neutral
Sp129,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated
Sp130,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Negative,Stimulated
Sp131,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sp132,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sp133,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sp134,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sp135,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated
Sp136,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral
Sp137,Negative,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Neutral,Negative,Stimulated
Sp138,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Neutral
Sp139,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Neutral,Neutral,Calm
Sp140,Neutral,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Stimulated,Neutral,Stimulated
Sp141,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Neutral,Calm,Neutral,Stimulated
Sp142,Neutral,Stimulated,Neutral,Calm,Neutral,Calm,Neutral,Stimulated,Neutral,Stimulated
Sp143,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Stimulated
Sp144,Negative,Stimulated,Neutral,Calm,Neutral,Stimulated,Neutral,Neutral,Neutral,Neutral
Sp145,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Neutral,Stimulated
Sp146,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sp147,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sp148,Neutral,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Neutral,Neutral,Neutral
Sp149,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Neutral
Sp150,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Negative,Neutral
Sp151,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Neutral
Sp152,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sp153,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated
Sp154,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Negative,Stimulated,Neutral,Neutral
Sp155,Neutral,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Neutral,Neutral
Sp156,Negative,Stimulated,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Negative,Neutral
Sp157,Negative,Stimulated,Neutral,Stimulated,Neutral,Neutral,Neutral,Stimulated,Neutral,Stimulated
Sp158,Neutral,Neutral,Neutral,Calm,Neutral,Neutral,Neutral,Calm,Neutral,Neutral
Sp159,Neutral,Neutral,Negative,Stimulated,Neutral,Calm,Negative,Stimulated,Negative,Stimulated
Sp160,Negative,Stimulated,Negative,Stimulated,Neutral,Stimulated,Negative,Stimulated,Neutral,Neutral
